"School","District","Enrollment","Students enrolled in the school - active student cases","Students enrolled in the school - % of students testing positive","School-associated cases - active student cases","School-Associated cases - all cases (last 14 days)","School-associated cases - all cases 2021-2022 school year","School-associated cases % of students testing positive"
"North Park School","Cache District","509","<5","<5 student cases","0","<5","48","0%"
"Forbes School","Alpine District","414","<5","<5 student cases","<5","<5","17","<5 student cases"
"Syracuse Arts Academy","Davis County - Charter","1034","<5","<5 student cases","<5","<5","70","<5 student cases"
"Lakeview School","Provo District","667","<5","<5 student cases","<5","<5","19","<5 student cases"
"Rolling Meadows School","Granite District","449","<5","<5 student cases","<5","<5","19","<5 student cases"
"Tolman Elementary","Davis District","341","<5","<5 student cases","<5","<5","49","<5 student cases"
"San Juan High","San Juan District","416","<5","<5 student cases","<5","<5","23","<5 student cases"
"Rockwell Charter High School","Utah County - Charter","252","<5","<5 student cases","0","0","9","0%"
"Morgan School","Morgan District","570","<5","<5 student cases","0","0","21","0%"
"Dixie High","Washington District","1254","<5","<5 student cases","<5","<5","35","<5 student cases"
"Reading School","Davis District","433","<5","<5 student cases","<5","5","65","<5 student cases"
"Upland Terrace School","Granite District","494","<5","<5 student cases","0","0","14","0%"
"North Sanpete High","North Sanpete District","754","<5","<5 student cases","<5","<5","35","<5 student cases"
"Hurricane Middle","Washington District","797","<5","<5 student cases","0","0","9","0%"
"Welby School","Jordan District","802","<5","<5 student cases","<5","<5","73","<5 student cases"
"Washington School","Salt Lake District","227","<5","<5 student cases","<5","<5","10","<5 student cases"
"Walden School of Liberal Arts","Utah County - Charter","443","<5","<5 student cases","<5","<5","23","<5 student cases"
"Winter Sports School","Summit County - Charter/Private","109","<5","<5 student cases","0","0","<5","0%"
"Canyon Crest School","Provo District","379","<5","<5 student cases","<5","<5","29","<5 student cases"
"Cherry Creek School","Nebo District","466","<5","<5 student cases","<5","<5","16","<5 student cases"
"Stansbury Park School","Tooele District","439","<5","<5 student cases","0","0","16","0%"
"Shadow Valley School","Ogden City District","557","<5","<5 student cases","<5","<5","25","<5 student cases"
"Venture Academy","Weber-Morgan - Charter","751","<5","<5 student cases","<5","<5","33","<5 student cases"
"Sunset School","Washington District","475","<5","<5 student cases","0","0","19","0%"
"Greenwood School","Alpine District","684","<5","<5 student cases","<5","<5","37","<5 student cases"
"Farmington School","Davis District","455","<5","<5 student cases","<5","6","60","<5 student cases"
"Cottonwood School","Granite District","422","<5","<5 student cases","0","<5","21","0%"
"Twin Peaks School","Granite District","268","<5","<5 student cases","0","<5","12","0%"
"Bonneville Jr High","Granite District","602","<5","<5 student cases","0","0","25","0%"
"American Academy of Innovation","Salt Lake County - Charter","401","<5","<5 student cases","<5","<5","17","<5 student cases"
"City Academy","Salt Lake County - Charter","136","<5","<5 student cases","0","0","<5","0%"
"Ascent Academies of Utah West Jordan","Salt Lake County - Charter","772","<5","<5 student cases","<5","<5","26","<5 student cases"
"King School","Davis District","416","<5","<5 student cases","<5","<5","47","<5 student cases"
"Woodstock School","Granite District","498","<5","<5 student cases","<5","<5","21","<5 student cases"
"Shelley School","Alpine District","833","<5","<5 student cases","<5","<5","51","<5 student cases"
"Diamond Ridge School","Granite District","743","<5","<5 student cases","0","<5","30","0%"
"West Valley School","Granite District","678","<5","<5 student cases","<5","<5","20","<5 student cases"
"Mountain Green Elementary","Morgan District","523","<5","<5 student cases","0","0","19","0%"
"Grand County High","Grand District","455","<5","<5 student cases","0","0","27","0%"
"Longview School","Murray District","386","<5","<5 student cases","<5","<5","33","<5 student cases"
"Riverview School","Nebo District","707","<5","<5 student cases","<5","<5","21","<5 student cases"
"Utah Connections Academy","Davis County - Charter","1258","<5","<5 student cases","<5","<5","<5","<5 student cases"
"Daniels Canyon School","Wasatch District","588","<5","<5 student cases","<5","<5","58","<5 student cases"
"Lehi Jr High","Alpine District","1362","<5","<5 student cases","0","<5","33","0%"
"Brookhaven School","Alpine District","782","<5","<5 student cases","<5","<5","70","<5 student cases"
"Oquirrh School","Jordan District","510","<5","<5 student cases","<5","<5","28","<5 student cases"
"Rowland Hall-St Mark's (Elem)","Salt Lake County - Private","Enrollment data not available","<5","<5 student cases","<5","5","20","<5 student cases"
"Westside School","Nebo District","682","<5","<5 student cases","<5","<5","25","<5 student cases"
"Woods Cross School","Davis District","476","<5","<5 student cases","0","<5","58","0%"
"River Heights School","Cache District","525","<5","<5 student cases","<5","<5","46","<5 student cases"
"Midvale Middle","Canyons District","954","<5","<5 student cases","<5","<5","53","<5 student cases"
"Summit School","Cache District","673","<5","<5 student cases","<5","<5","31","<5 student cases"
"Oakcrest School","Jordan District","653","<5","<5 student cases","<5","<5","105","<5 student cases"
"Mt. Nebo Junior High","Nebo District","1051","<5","<5 student cases","<5","<5","59","<5 student cases"
"Spectrum Academy - Pleasant Grove","Utah County - Charter","624","<5","<5 student cases","<5","<5","16","<5 student cases"
"Sandy School","Canyons District","539","<5","<5 student cases","<5","<5","29","<5 student cases"
"Gunnison Valley High","South Sanpete District","331","<5","<5 student cases","<5","<5","17","<5 student cases"
"Valley View Middle","Nebo District","890","<5","<5 student cases","<5","<5","33","<5 student cases"
"Monte Vista School","Jordan District","868","<5","<5 student cases","0","0","26","0%"
"Reagan Academy","Utah County - Charter","643","<5","<5 student cases","<5","<5","42","<5 student cases"
"Freedom Preparatory Academy - Elementary","Utah County - Charter","700","<5","<5 student cases","0","0","53","0%"
"Bonneville School","Alpine District","510","<5","<5 student cases","<5","<5","37","<5 student cases"
"Southland School","Jordan District","732","<5","<5 student cases","<5","<5","25","<5 student cases"
"South Weber School","Davis District","685","<5","<5 student cases","<5","<5","88","<5 student cases"
"East Meadows School","Nebo District","641","<5","<5 student cases","<5","<5","15","<5 student cases"
"Legacy Preparatory Academy","Davis County - Charter","Enrollment data not available","<5","<5 student cases","<5","<5","61","<5 student cases"
"Salem School","Nebo District","502","<5","<5 student cases","<5","<5","9","<5 student cases"
"Hawthorn Academy South Jordan","Salt Lake County - Charter","553","<5","<5 student cases","<5","<5","35","<5 student cases"
"Merit College Preparatory Academy","Utah County - Charter","425","<5","<5 student cases","<5","<5","16","<5 student cases"
"Wasatch Waldorf Charter School","Salt Lake County - Charter","640","<5","<5 student cases","<5","<5","45","<5 student cases"
"Summit Academy - Bluffdale","Salt Lake County - Charter","421","<5","<5 student cases","<5","<5","31","<5 student cases"
"Mountain Point Elementary School","Jordan District","492","<5","<5 student cases","0","0","24","0%"
"North Cache Middle School","Cache District","1137","<5","<5 student cases","<5","<5","53","<5 student cases"
"Cascade School","Alpine District","695","<5","<5 student cases","<5","<5","32","<5 student cases"
"William Penn School","Granite District","566","<5","<5 student cases","0","<5","31","0%"
"Westridge School","Provo District","601","<5","<5 student cases","<5","<5","31","<5 student cases"
"Manila School","Alpine District","603","<5","<5 student cases","<5","<5","15","<5 student cases"
"Escalante School","Salt Lake District","396","<5","<5 student cases","0","0","5","0%"
"Uintah High","Uintah District","1844","<5","<5 student cases","<5","<5","65","<5 student cases"
"Millard High","Millard District","404","<5","<5 student cases","<5","<5","22","<5 student cases"
"Calvin S. Smith School","Granite District","693","<5","<5 student cases","<5","<5","42","<5 student cases"
"Cedar Middle","Iron District","1097","<5","<5 student cases","<5","<5","28","<5 student cases"
"McPolin Elementary","Park City District","399","<5","<5 student cases","<5","<5","24","<5 student cases"
"Whitesides School","Davis District","313","<5","<5 student cases","<5","<5","36","<5 student cases"
"Plain City School","Weber District","650","<5","<5 student cases","<5","<5","31","<5 student cases"
"Lava Ridge Intermediate","Washington District","860","<5","<5 student cases","<5","<5","12","<5 student cases"
"Valley View School","Weber District","376","<5","<5 student cases","<5","<5","33","<5 student cases"
"Fremont School","Davis District","224","<5","<5 student cases","<5","<5","23","<5 student cases"
"Cedar East School","Iron District","528","<5","<5 student cases","<5","<5","20","<5 student cases"
"Entheos Academy Magna","Salt Lake County - Charter","469","<5","<5 student cases","<5","<5","18","<5 student cases"
"Thunder Ridge School","Alpine District","715","<5","<5 student cases","0","0","46","0%"
"Northlake School","Tooele District","465","<5","<5 student cases","0","0","16","0%"
"Spanish Oaks School","Nebo District","474","<5","<5 student cases","0","0","20","0%"
"Pine View High","Washington District","1094","<5","<5 student cases","0","0","28","0%"
"Taylor School","Davis District","353","<5","<5 student cases","<5","<5","41","<5 student cases"
"Canyon Rim Academy","Salt Lake County - Charter","525","<5","<5 student cases","0","0","41","0%"
"Sage Hills School","Alpine District","1033","<5","<5 student cases","<5","<5","46","<5 student cases"
"Monticello Academy West Point","Davis County - Charter","188","<5","<5 student cases","<5","<5","24","<5 student cases"
"Kanesville School","Weber District","854","<5","<5 student cases","<5","<5","61","<5 student cases"
"Mcmillan School","Murray District","538","<5","<5 student cases","0","<5","53","0%"
"Washington Fields Intermediate","Washington District","883","<5","<5 student cases","<5","<5","15","<5 student cases"
"Highland Junior High","Ogden City District","703","<5","<5 student cases","<5","<5","20","<5 student cases"
"Mount Ogden Junior High","Ogden City District","788","<5","<5 student cases","<5","<5","31","<5 student cases"
"Wasatch School","Ogden City District","246","<5","<5 student cases","0","0","20","0%"
"South Summit Middle","South Summit District","468","<5","<5 student cases","0","0","7","0%"
"Whittier School","Granite District","472","<5","<5 student cases","<5","<5","16","<5 student cases"
"Lomond View School","Weber District","459","<5","<5 student cases","<5","<5","12","<5 student cases"
"Mill Creek School","Granite District","359","<5","<5 student cases","0","0","18","0%"
"Fox Hills School","Granite District","724","<5","<5 student cases","<5","<5","29","<5 student cases"
"Mountain Trails School","Alpine District","832","<5","<5 student cases","<5","<5","59","<5 student cases"
"Pony Express School","Alpine District","915","<5","<5 student cases","<5","<5","44","<5 student cases"
"Bryant Middle","Salt Lake District","452","<5","<5 student cases","<5","<5","7","<5 student cases"
"Valley Jr High","Granite District","765","<5","<5 student cases","<5","<5","16","<5 student cases"
"Rocky Mountain Jr High","Weber District","1130","<5","<5 student cases","<5","<5","51","<5 student cases"
"Deerfield School","Alpine District","579","<5","<5 student cases","<5","<5","20","<5 student cases"
"Monroe School","Granite District","561","<5","<5 student cases","<5","<5","14","<5 student cases"
"Eagle Valley School","Alpine District","752","<5","<5 student cases","<5","<5","52","<5 student cases"
"Davis Connect K-6 & 7-12 - Davis District","Davis District","Enrollment data not available","<5","<5 student cases","0","0","5","0%"
"Lincoln School","Granite District","457","<5","<5 student cases","<5","<5","9","<5 student cases"
"Trailside Elementary","Alpine District","Enrollment data not available","<5","<5 student cases","0","<5","17","0%"
"Daybreak School","Jordan District","751","<5","<5 student cases","<5","<5","50","<5 student cases"
"Freedom School","Weber District","820","<5","<5 student cases","0","0","35","0%"
"Vista School","Granite District","600","<5","<5 student cases","<5","<5","26","<5 student cases"
"Richfield High","Sevier District","669","<5","<5 student cases","0","<5","36","0%"
"Good Foundations Academy","Weber-Morgan - Charter","412","<5","<5 student cases","<5","<5","27","<5 student cases"
"Valley Crest School","Granite District","518","<5","<5 student cases","<5","<5","21","<5 student cases"
"North Ogden School","Weber District","559","<5","<5 student cases","<5","<5","19","<5 student cases"
"Sego Lily School","Alpine District","665","<5","<5 student cases","0","0","48","0%"
"Hooper School","Weber District","687","<5","<5 student cases","<5","<5","35","<5 student cases"
"Edgemont Elementary","Provo District","536","<5","<5 student cases","<5","<5","108","<5 student cases"
"Bastian Elementary School","Jordan District","979","<5","<5 student cases","<5","<5","39","<5 student cases"
"North Ogden Jr High","Weber District","933","<5","<5 student cases","0","<5","35","0%"
"Lincoln School","Davis District","555","<5","<5 student cases","<5","<5","51","<5 student cases"
"Salem Junior High","Nebo District","1011","<5","<5 student cases","<5","<5","32","<5 student cases"
"Uintah School","Weber District","692","<5","<5 student cases","0","0","29","0%"
"Advantage Arts Academy","Salt Lake County - Charter","327","<5","<5 student cases","0","<5","22","0%"
"Vineyard School","Alpine District","1230","<5","<5 student cases","0","0","47","0%"
"South Ogden Jr High","Weber District","911","<5","<5 student cases","<5","<5","22","<5 student cases"
"Orem Jr High","Alpine District","1030","<5","<5 student cases","0","0","24","0%"
"Mcgillis School","Salt Lake County - Private","Enrollment data not available","<5","<5 student cases","<5","5","16","<5 student cases"
"Parkside Elementary","Alpine District","339","<5","<5 student cases","0","<5","20","0%"
"Ashman School","Sevier District","493","<5","<5 student cases","<5","<5","22","<5 student cases"
"Meadowbrook School","Davis District","317","<5","<5 student cases","<5","<5","39","<5 student cases"
"Majestic School","Jordan District","241","<5","<5 student cases","<5","<5","9","<5 student cases"
"Viewmont School","Murray District","469","<5","<5 student cases","<5","<5","17","<5 student cases"
"Dixon Middle","Provo District","928","<5","<5 student cases","<5","<5","15","<5 student cases"
"Canyon Creek School","Davis District","751","<5","<5 student cases","<5","<5","59","<5 student cases"
"Altara School","Canyons District","536","<5","<5 student cases","0","0","34","0%"
"Bonneville Academy","Tooele County - Charter/Private","Enrollment data not available","<5","<5 student cases","0","0","12","0%"
"Juab High","Juab District","831","<5","<5 student cases","<5","<5","17","<5 student cases"
"Dixie Middle","Washington District","863","<5","<5 student cases","0","0","9","0%"
"Desert Hills High","Washington District","1006","<5","<5 student cases","0","0","19","0%"
"East Sandy School","Canyons District","407","<5","<5 student cases","<5","<5","18","<5 student cases"
"Adele C. Young Intermediate","Box Elder District","1071","<5","<5 student cases","<5","<5","56","<5 student cases"
"Greenwood Charter School","Weber-Morgan - Charter","380","<5","<5 student cases","<5","<5","19","<5 student cases"
"Sandstone School","Washington District","492","<5","<5 student cases","<5","<5","12","<5 student cases"
"Riverside School","Jordan District","644","<5","<5 student cases","<5","<5","28","<5 student cases"
"Wilson School","Logan City District","495","<5","<5 student cases","<5","<5","27","<5 student cases"
"Providence School","Cache District","751","<5","<5 student cases","<5","<5","45","<5 student cases"
"Foothill School","Alpine District","563","<5","<5 student cases","<5","<5","26","<5 student cases"
"Hillcrest School","Logan City District","419","<5","<5 student cases","<5","<5","24","<5 student cases"
"Rowland Hall-St Mark's (Middle)","Salt Lake County - Private","Enrollment data not available","<5","<5 student cases","<5","<5","6","<5 student cases"
"Monument Valley High","San Juan District","200","<5","<5 student cases","<5","<5","7","<5 student cases"
"Eagle Bay School","Davis District","465","<5","<5 student cases","<5","<5","41","<5 student cases"
"Weber Innovation High School","Weber District","250","<5","<5 student cases","<5","<5","14","<5 student cases"
"Wasatch Learning Academy","Wasatch District","2294","<5","<5 student cases","0","0","<5","0%"
"Holbrook School","Davis District","431","<5","<5 student cases","<5","<5","45","<5 student cases"
"Mt. Loafer School","Nebo District","594","<5","<5 student cases","<5","<5","29","<5 student cases"
"Payson Jr High","Nebo District","1115","<5","<5 student cases","<5","<5","33","<5 student cases"
"Golden Fields School","Jordan District","875","<5","<5 student cases","0","<5","59","0%"
"Three Mile Creek School","Box Elder District","570","<5","<5 student cases","<5","<5","44","<5 student cases"
"Alta View School","Canyons District","608","<5","<5 student cases","0","<5","17","0%"
"Apple Valley School","Nebo District","642","<5","<5 student cases","<5","<5","17","<5 student cases"
"Morgan School","Davis District","588","<5","<5 student cases","<5","<5","37","<5 student cases"
"Edgemont School","Canyons District","324","<5","<5 student cases","0","0","14","0%"
"Rose Park School","Salt Lake District","302","<5","<5 student cases","0","0","13","0%"
"Crescent School","Canyons District","430","<5","<5 student cases","0","<5","24","0%"
"Westmore School","Alpine District","421","<5","<5 student cases","<5","<5","18","<5 student cases"
"Riverdale School","Weber District","423","<5","<5 student cases","<5","<5","25","<5 student cases"
"Art City School","Nebo District","481","<5","<5 student cases","0","0","26","0%"
"Bridger School","Logan City District","467","<5","<5 student cases","<5","<5","22","<5 student cases"
"Summit Academy","Salt Lake County - Charter","940","<5","<5 student cases","<5","<5","41","<5 student cases"
"Windridge School","Davis District","504","<5","<5 student cases","<5","<5","41","<5 student cases"
"Windsor School","Alpine District","532","<5","<5 student cases","<5","<5","27","<5 student cases"
"Hurricane Intermediate","Washington District","700","<5","<5 student cases","<5","<5","20","<5 student cases"
"East Ridge Elementary","Ogden City District","341","<5","<5 student cases","<5","<5","33","<5 student cases"
"Ogden Preparatory Academy","Weber-Morgan - Charter","1039","<5","<5 student cases","<5","<5","56","<5 student cases"
"Oak Hollow School","Canyons District","644","<5","<5 student cases","0","0","19","0%"
"NUAMES WSU- Ogden","Weber-Morgan - Charter","396","<5","<5 student cases","0","0","8","0%"
"Waterford School","Salt Lake County - Private","961","<5","<5 student cases","<5","<5","23","<5 student cases"
"Canyon School","Nebo District","579","<5","<5 student cases","<5","<5","27","<5 student cases"
"Sunset View School","Provo District","526","<5","<5 student cases","0","0","28","0%"
"North Star School","Salt Lake District","436","<5","<5 student cases","0","0","17","0%"
"Uintah School","Salt Lake District","400","<5","<5 student cases","0","0","29","0%"
"Ignite Entrepreneurship Academy","Utah County - Charter","Enrollment data not available","<5","<5 student cases","<5","<5","38","<5 student cases"
"Vae View School","Davis District","251","<5","<5 student cases","<5","<5","16","<5 student cases"
"Meadow School","Alpine District","705","<5","<5 student cases","<5","<5","38","<5 student cases"
"Mountain Sunrise Academy","Utah County - Charter","382","<5","<5 student cases","<5","<5","19","<5 student cases"
"Washington Terrace School","Weber District","517","<5","<5 student cases","<5","<5","52","<5 student cases"
"Taylorsville School","Granite District","383","<5","<5 student cases","<5","<5","10","<5 student cases"
"Clarke N. Johnsen Jr High","Tooele District","731","<5","<5 student cases","0","0","15","0%"
"East Hollywood High","Salt Lake County - Charter","273","<5","<5 student cases","<5","<5","15","<5 student cases"
"Adams School","Davis District","497","<5","<5 student cases","<5","<5","70","<5 student cases"
"Midway School","Wasatch District","551","<5","<5 student cases","<5","<5","38","<5 student cases"
"Sunrise School","Cache District","759","<5","<5 student cases","<5","<5","56","<5 student cases"
"Success DSU","Southwest Utah - Charter","263","<5","<5 student cases","<5","<5","<5","<5 student cases"
"Salt Lake School for the Performing Arts","Salt Lake County - Charter","240","<5","<5 student cases","<5","<5","6","<5 student cases"
"Little Valley School","Washington District","688","<5","<5 student cases","0","0","15","0%"
"J E Cosgriff Memorial","Salt Lake County - Private","Enrollment data not available","<5","<5 student cases","<5","5","9","<5 student cases"
"J.R. Smith School","Wasatch District","493","<5","<5 student cases","<5","<5","33","<5 student cases"
"Iron Springs School","Iron District","626","<5","<5 student cases","<5","<5","25","<5 student cases"
"Indian Hills School","Salt Lake District","312","<5","<5 student cases","0","0","12","0%"
"Riverside School","Washington District","767","<5","<5 student cases","<5","<5","11","<5 student cases"
"Sterling School","Tooele District","587","<5","<5 student cases","0","0","24","0%"
"Quail Hollow School","Canyons District","478","<5","<5 student cases","0","<5","42","0%"
"Red Mountain School","Washington District","407","<5","<5 student cases","<5","<5","12","<5 student cases"
"West Clinton School","Davis District","649","<5","<5 student cases","<5","<5","56","<5 student cases"
"South Sevier Middle","Sevier District","331","<5","<5 student cases","<5","<5","25","<5 student cases"
"Tooele High","Tooele District","1552","<5","<5 student cases","0","0","34","0%"
"Blanding School","San Juan District","529","<5","<5 student cases","0","0","27","0%"
"Canyon View School","Canyons District","478","<5","<5 student cases","0","0","19","0%"
"Park City Day School","Summit County - Charter/Private","Enrollment data not available","<5","<5 student cases","<5","<5","7","<5 student cases"
"Sunrise Ridge Intermediate","Washington District","646","<5","<5 student cases","0","<5","11","0%"
"Eastwood School","Granite District","283","<5","<5 student cases","<5","<5","16","<5 student cases"
"Coral Canyon School","Washington District","579","<5","<5 student cases","<5","<5","10","<5 student cases"
"Renaissance Academy","Utah County - Charter","741","<5","<5 student cases","0","0","60","0%"
"Robert Frost School","Granite District","350","<5","<5 student cases","<5","<5","13","<5 student cases"
"Ellis School","Logan City District","245","<5","<5 student cases","0","0","12","0%"
"Ashley School","Uintah District","540","<5","<5 student cases","<5","<5","13","<5 student cases"
"Spring Creek Middle School","Cache District","787","<5","<5 student cases","<5","<5","26","<5 student cases"
"North Sevier High","Sevier District","281","<5","<5 student cases","<5","<5","31","<5 student cases"
"Park View School","Nebo District","414","<5","<5 student cases","0","0","12","0%"
"Granger School","Granite District","715","<5","<5 student cases","<5","<5","10","<5 student cases"
"Columbia School","Davis District","576","<5","<5 student cases","0","0","59","0%"
"Fossil Ridge Intermediate","Washington District","764","<5","<5 student cases","<5","<5","11","<5 student cases"
"Tooele Jr High","Tooele District","708","<5","<5 student cases","0","0","18","0%"
"Foothills School","Nebo District","687","<5","<5 student cases","0","<5","39","0%"
"Freedom Preparatory Academy","Utah County - Charter","1475","<5","<5 student cases","<5","<5","27","<5 student cases"
"M. Lynn Bennion School","Salt Lake District","155","<5","<5 student cases","<5","<5","<5","<5 student cases"
"Oakridge School","Granite District","383","<5","<5 student cases","<5","<5","9","<5 student cases"
"Howard R. Driggs School","Granite District","475","<5","<5 student cases","<5","<5","29","<5 student cases"
"Holt School","Davis District","361","<5","<5 student cases","0","<5","40","0%"
"Garland School","Box Elder District","645","<5","<5 student cases","<5","5","51","<5 student cases"
"Orem School","Alpine District","638","<5","<5 student cases","0","0","20","0%"
"Edison School","Salt Lake District","395","<5","<5 student cases","0","0","16","0%"
"Bridge Elementary School","Weber-Morgan - Charter","485","<5","<5 student cases","0","0","12","0%"
"Grantsville School","Tooele District","674","<5","<5 student cases","0","0","23","0%"
"Delta High","Millard District","536","<5","<5 student cases","<5","<5","35","<5 student cases"
"Hayden Peak School","Jordan District","716","<5","<5 student cases","<5","<5","32","<5 student cases"
"River Rock School","Alpine District","929","<5","<5 student cases","0","<5","29","0%"
"Pahvant School","Sevier District","502","<5","<5 student cases","<5","<5","32","<5 student cases"
"Plymouth School","Granite District","667","<5","<5 student cases","<5","<5","14","<5 student cases"
"Wellsville School","Cache District","502","<5","<5 student cases","<5","<5","33","<5 student cases"
"Spring Lane School","Granite District","320","<5","<5 student cases","<5","<5","15","<5 student cases"
"Albert R. Lyman Middle","San Juan District","325","<5","<5 student cases","0","0","13","0%"
"Jim Bridger School","Granite District","450","<5","<5 student cases","0","0","14","0%"
"Arrowhead School","Washington District","596","<5","<5 student cases","<5","<5","14","<5 student cases"
"Beehive School","Granite District","514","<5","<5 student cases","0","0","14","0%"
"Nebo Advanced Learning Center","Nebo District","2078","<5","<5 student cases","0","0","<5","0%"
"Municipal School","Weber District","341","<5","<5 student cases","<5","<5","18","<5 student cases"
"Thomas W. Bacchus School","Granite District","418","<5","<5 student cases","0","0","8","0%"
"Spring Canyon Middle School","Nebo District","Enrollment data not available","<5","<5 student cases","<5","<5","53","<5 student cases"
"Mont Harmon Middle","Carbon District","623","<5","<5 student cases","<5","<5","30","<5 student cases"
"Fox Hollow School","Jordan District","975","<5","<5 student cases","<5","<5","66","<5 student cases"
"Mountain Green Middle School","Morgan District","520","<5","<5 student cases","<5","<5","13","<5 student cases"
"Ridgeline School","Alpine District","906","<5","<5 student cases","0","<5","36","0%"
"Provost School","Provo District","416","<5","<5 student cases","0","0","12","0%"
"Silver Summit Academy","South Summit District","104","<5","<5 student cases","0","0","7","0%"
"Cedar Ridge School","Cache District","702","<5","<5 student cases","<5","<5","46","<5 student cases"
"Mountain View School","Box Elder District","359","<5","<5 student cases","<5","<5","7","<5 student cases"
"Judge Memorial Catholic High","Salt Lake County - Private","Enrollment data not available","<5","<5 student cases","<5","<5","12","<5 student cases"
"Edith Bowen Laboratory School","Bear River - Charter","357","<5","<5 student cases","0","<5","24","0%"
"East School","Duchesne District","375","<5","<5 student cases","0","0","9","0%"
"West Jordan School","Jordan District","476","<5","<5 student cases","<5","<5","24","<5 student cases"
"Adelaide School","Davis District","370","<5","<5 student cases","<5","<5","38","<5 student cases"
"American Heritage School","Utah County - Private","1000","<5","<5 student cases","<5","<5","32","<5 student cases"
"Lake Ridge School","Granite District","486","<5","<5 student cases","0","<5","11","0%"
"Meadow Brook School","Nebo District","598","<5","<5 student cases","0","<5","42","0%"
"Lehi School","Alpine District","551","<5","<5 student cases","<5","<5","28","<5 student cases"
"Ellison Park School","Davis District","495","<5","<5 student cases","<5","<5","30","<5 student cases"
"Canyons Technical Education Center/Entrada Adult High/Diamond Ridge High","Canyons District","30","<5","<5 student cases","<5","<5","14","<5 student cases"
"Beehive Science & Technology Academy","Salt Lake County - Charter","312","<5","<5 student cases","<5","<5","8","<5 student cases"
"Rowland Hall-St Mark's (Sec)","Salt Lake County - Private","Enrollment data not available","<5","<5 student cases","<5","<5","6","<5 student cases"
"Fast Forward High","Bear River - Charter","251","<5","<5 student cases","<5","<5","14","<5 student cases"
"Desert Hills Middle","Washington District","713","<5","<5 student cases","0","0","15","0%"
"Doxey School","Davis District","265","<5","<5 student cases","0","0","17","0%"
"Central School","Alpine District","479","<5","<5 student cases","0","0","14","0%"
"Parkview School","Salt Lake District","219","<5","<5 student cases","<5","<5","8","<5 student cases"
"Bell View School","Canyons District","305","<5","<5 student cases","<5","<5","14","<5 student cases"
"Montezuma Creek School","San Juan District","272","<5","<5 student cases","0","0","<5","0%"
"Duchesne School","Duchesne District","444","<5","<5 student cases","0","0","12","0%"
"Waypoint Academy","Weber-Morgan - Private","Enrollment data not available","<5","<5 student cases","<5","<5","<5","<5 student cases"
"Manti High","South Sanpete District","694","<5","<5 student cases","0","0","33","0%"
"Promontory School of Expeditionary Learning","Bear River - Charter","448","<5","<5 student cases","<5","<5","36","<5 student cases"
"Wasatch Elementary","Provo District","623","<5","<5 student cases","0","<5","51","0%"
"Challenger School","Davis County - Private","Enrollment data not available","<5","<5 student cases","<5","<5","15","<5 student cases"
"Utah Arts Academy","Southwest Utah - Charter","Enrollment data not available","<5","<5 student cases","0","0","9","0%"
"Snow Horse Elementary","Davis District","515","<5","<5 student cases","<5","<5","40","<5 student cases"
"Dancing Moose Montessori River Park","Salt Lake County - Charter","Enrollment data not available","<5","<5 student cases","<5","<5","22","<5 student cases"
"Clinton School","Davis District","391","<5","<5 student cases","<5","<5","36","<5 student cases"
"Oak Canyon Jr High","Alpine District","1366","<5","<5 student cases","0","<5","34","0%"
"Leadership Learning Academy - Ogden","Weber-Morgan - Charter","421","<5","<5 student cases","0","0","23","0%"
"Franklin School","Salt Lake District","322","<5","<5 student cases","0","0","15","0%"
"Bonneville School","Salt Lake District","421","<5","<5 student cases","0","0","25","0%"
"Dual Immersion Academy","Salt Lake County - Charter","443","<5","<5 student cases","0","0","17","0%"
"Ibapah School","Tooele District","18","<5","<5 student cases","0","0","<5","0%"
"American Preparatory Academy - salem","Utah County - Charter","459","<5","<5 student cases","<5","<5","33","<5 student cases"
"Red Cliff School","Juab District","514","<5","<5 student cases","0","0","20","0%"
"Mapleton School","Nebo District","694","<5","<5 student cases","0","0","19","0%"
"Rosamond School","Jordan District","638","<5","<5 student cases","<5","<5","36","<5 student cases"
"Weber State University Charter Academy","Weber-Morgan - Charter","32","<5","<5 student cases","<5","<5","20","<5 student cases"
"Foothills School","Jordan District","958","<5","<5 student cases","<5","<5","70","<5 student cases"
"Mountain View School","Salt Lake District","529","<5","<5 student cases","0","0","16","0%"
"Liberty School","Murray District","335","<5","<5 student cases","0","0","17","0%"
"Riley School","Salt Lake District","247","<5","<5 student cases","0","0","18","0%"
"Diamond Valley School","Washington District","338","<5","<5 student cases","0","<5","8","0%"
"Saratoga Shores School","Alpine District","825","<5","<5 student cases","0","0","41","0%"
"Jefferson Academy","Davis County - Charter","682","<5","<5 student cases","0","0","60","0%"
"Heartland School","Jordan District","444","<5","<5 student cases","<5","<5","19","<5 student cases"
"Manti School","South Sanpete District","357","<5","<5 student cases","0","0","16","0%"
"Syracuse Elementary","Davis District","821","<5","<5 student cases","0","0","91","0%"
"Helper Middle","Carbon District","201","<5","<5 student cases","0","0","<5","0%"
"Grantsville High","Tooele District","928","<5","<5 student cases","0","0","18","0%"
"Copper Canyon School","Tooele District","336","<5","<5 student cases","0","0","9","0%"
"Sunset Jr High","Davis District","827","<5","<5 student cases","<5","<5","61","<5 student cases"
"Barratt School","Alpine District","516","<5","<5 student cases","<5","<5","30","<5 student cases"
